episode_idx	episode_id	scene	exit_code	outbound_success	return_success	round_trip_success	distance_to_start	outbound_stop_distance_to_goal
5	9	x8F5xyUWy9e	0	True	False	False	8.878586769104004	0.3347068130970001
367	602	X7HyMhZNoso	0	True	True	True	1.4900521039962769	1.317607045173645
647	1119	x8F5xyUWy9e	0	True	True	True	0.6677106618881226	2.1749417781829834
89	129	EU6Fwq7SyZv	0	True	False	False	5.36669921875	2.712240219116211
268	422	QUCTc6BB5sX	0	True	True	True	2.745084762573242	0.6150118112564087
1038	1759	X7HyMhZNoso	0	True	True	True	1.1245403289794922	1.3490952253341675
205	314	2azQ1b91cZZ	0	True	False	False	3.4135708808898926	1.0178875923156738
88	128	EU6Fwq7SyZv	0	True	False	False	5.183632850646973	1.2290101051330566
671	1155	X7HyMhZNoso	0	True	True	True	0.6589203476905823	0.18969875574111938
688	1178	X7HyMhZNoso	1					
95	141	2azQ1b91cZZ	98					
319	512	2azQ1b91cZZ	0	True	False	False	7.0436930656433105	0.7759787440299988
579	1006	2azQ1b91cZZ	0	True	False	False	5.385871887207031	1.5237536430358887
264	418	zsNo4HB9uLZ	0	True	False	False	5.666078090667725	0.9952511787414551
658	1139	QUCTc6BB5sX	0	True	True	True	1.234256625175476	0.6470323801040649
310	500	QUCTc6BB5sX	0	True	True	True	3.0081162452697754	0.44339168071746826
351	577	QUCTc6BB5sX	0	True	True	True	2.495965003967285	0.4193815290927887
539	930	TbHJrupSAjP	0	True	False	False	5.95425271987915	1.1882448196411133
669	1153	X7HyMhZNoso	0	True	True	True	0.692797839641571	0.18969875574111938
484	827	zsNo4HB9uLZ	98					
581	1008	2azQ1b91cZZ	0	True	False	False	3.3115549087524414	0.33376240730285645
646	1118	x8F5xyUWy9e	0	True	True	True	0.6620702147483826	2.154270648956299
366	601	X7HyMhZNoso	0	True	True	True	1.7300548553466797	2.4691309928894043
490	854	X7HyMhZNoso	0	True	False	False	6.1642842292785645	0.07638110220432281
888	1516	EU6Fwq7SyZv	0	True	True	True	2.9444010257720947	0.5595924258232117
962	1644	TbHJrupSAjP	0	True	False	False	3.8732426166534424	0.689678430557251
815	1380	x8F5xyUWy9e	0	True	False	False	4.279936790466309	0.7183235883712769
961	1643	TbHJrupSAjP	0	True	False	False	3.8610246181488037	1.126803994178772
20	33	x8F5xyUWy9e	0	True	False	False	5.459573268890381	0.7486945390701294
670	1154	X7HyMhZNoso	0	True	False	False	7.052464962005615	0.5553672313690186
696	1189	2azQ1b91cZZ	0	True	False	False	3.62491774559021	1.4600136280059814
813	1378	x8F5xyUWy9e	0	True	True	True	0.7837626338005066	2.1585519313812256
844	1439	zsNo4HB9uLZ	0	True	False	False	1.9809097051620483	2.133143424987793
189	286	2azQ1b91cZZ	98					
783	1336	X7HyMhZNoso	0	True	False	False	3.838003158569336	0.6094897985458374
784	1337	X7HyMhZNoso	0	True	False	False	3.948383092880249	1.2501364946365356
889	1517	EU6Fwq7SyZv	0	True	False	False	3.2370026111602783	1.6554393768310547
785	1338	X7HyMhZNoso	0	True	False	False	3.838003158569336	0.6094897985458374
1004	1713	TbHJrupSAjP	98					
1062	1801	2azQ1b91cZZ	0					
86	126	zsNo4HB9uLZ	0	True	False	False	13.040030479431152	1.6447391510009766
271	428	QUCTc6BB5sX	0	True	True	True	2.8173060417175293	0.8436200022697449
324	523	TbHJrupSAjP	0	True	False	False	6.4216108322143555	1.8630645275115967
470	798	QUCTc6BB5sX	0	True	True	True	0.9063729047775269	2.472806930541992
479	810	2azQ1b91cZZ	0	True	False	False	11.400519371032715	0.8652437329292297
517	899	zsNo4HB9uLZ	0	True	False	False	6.668491840362549	0.24381473660469055
534	922	zsNo4HB9uLZ	0	True	False	False	5.708266258239746	1.0738743543624878
555	958	2azQ1b91cZZ	98					
656	1137	zsNo4HB9uLZ	0	True	True	True	0.9877352714538574	1.1749876737594604
806	1368	TbHJrupSAjP	0	True	False	False	4.946372032165527	0.9819995164871216
